candidate_id,direction,content_class,style_class,content_index,style_index,style_crop,slot,review_status,pixel_standard_deviation,visual_review_status,rejection_reason,selection_status,selection_reason
bird_to_cat_00,bird_to_cat,bird,cat,2687,89,"[0.18, 0.12, 0.88, 0.88]",0,pending,0.2464489459706329,accepted,,selected,human_accepted_before_model_evaluation
bird_to_cat_01,bird_to_cat,bird,cat,6169,89,"[0.18, 0.12, 0.88, 0.88]",1,pending,0.25105305848447784,rejected,reviewer_rejected_unspecified,not_selected,human_rejected_before_model_evaluation
bird_to_cat_02,bird_to_cat,bird,cat,3079,89,"[0.18, 0.12, 0.88, 0.88]",2,pending,0.23036478734272892,accepted,,selected,human_accepted_before_model_evaluation
bird_to_cat_03,bird_to_cat,bird,cat,2690,89,"[0.18, 0.12, 0.88, 0.88]",3,pending,0.2343322646535974,accepted,,selected,human_accepted_before_model_evaluation
bird_to_cat_04,bird_to_cat,bird,cat,7033,89,"[0.18, 0.12, 0.88, 0.88]",4,pending,0.20283582599503605,rejected,reviewer_rejected_unspecified,not_selected,human_rejected_before_model_evaluation
bird_to_cat_05,bird_to_cat,bird,cat,3491,89,"[0.18, 0.12, 0.88, 0.88]",5,pending,0.2245852412784582,accepted,,selected,human_accepted_before_model_evaluation
bird_to_cat_06,bird_to_cat,bird,cat,825,89,"[0.18, 0.12, 0.88, 0.88]",6,pending,0.23280332509114654,accepted,,selected,human_accepted_before_model_evaluation
bird_to_cat_07,bird_to_cat,bird,cat,1230,89,"[0.18, 0.12, 0.88, 0.88]",7,pending,0.27499924492000966,accepted,,selected,human_accepted_before_model_evaluation
bird_to_cat_08,bird_to_cat,bird,cat,6938,89,"[0.18, 0.12, 0.88, 0.88]",8,pending,0.2559879281694712,accepted,,selected,human_accepted_before_model_evaluation
bird_to_cat_09,bird_to_cat,bird,cat,3413,89,"[0.18, 0.12, 0.88, 0.88]",9,pending,0.23025591675877324,accepted,,selected,human_accepted_before_model_evaluation
bird_to_cat_10,bird_to_cat,bird,cat,7202,89,"[0.18, 0.12, 0.88, 0.88]",10,pending,0.2476297114218846,accepted,,selected,human_accepted_before_model_evaluation
bird_to_cat_11,bird_to_cat,bird,cat,1852,89,"[0.18, 0.12, 0.88, 0.88]",11,pending,0.21680646676523666,accepted,,selected,human_accepted_before_model_evaluation
bird_to_cat_12,bird_to_cat,bird,cat,7029,89,"[0.18, 0.12, 0.88, 0.88]",12,pending,0.250781225429117,accepted,,selected,human_accepted_before_model_evaluation
bird_to_cat_13,bird_to_cat,bird,cat,304,89,"[0.18, 0.12, 0.88, 0.88]",13,pending,0.21286999378973578,rejected,reviewer_rejected_unspecified,not_selected,human_rejected_before_model_evaluation
bird_to_cat_14,bird_to_cat,bird,cat,198,89,"[0.18, 0.12, 0.88, 0.88]",14,pending,0.28878882571733183,accepted,,selected,human_accepted_before_model_evaluation
bird_to_cat_15,bird_to_cat,bird,cat,5220,89,"[0.18, 0.12, 0.88, 0.88]",15,pending,0.26283746407248365,rejected,reviewer_rejected_unspecified,not_selected,human_rejected_before_model_evaluation
bird_to_cat_16,bird_to_cat,bird,cat,4640,89,"[0.18, 0.12, 0.88, 0.88]",16,pending,0.23257648752948915,accepted,,selected,human_accepted_before_model_evaluation
bird_to_cat_17,bird_to_cat,bird,cat,5092,89,"[0.18, 0.12, 0.88, 0.88]",17,pending,0.23676968513438,accepted,,selected,human_accepted_before_model_evaluation
bird_to_cat_18,bird_to_cat,bird,cat,1090,89,"[0.18, 0.12, 0.88, 0.88]",18,pending,0.25204893967617253,accepted,,selected,human_accepted_before_model_evaluation
bird_to_cat_19,bird_to_cat,bird,cat,1986,89,"[0.18, 0.12, 0.88, 0.88]",19,pending,0.244980280760394,accepted,,selected,human_accepted_before_model_evaluation
bird_to_cat_20,bird_to_cat,bird,cat,95,89,"[0.18, 0.12, 0.88, 0.88]",20,pending,0.24689801552190424,accepted,,selected,human_accepted_before_model_evaluation
bird_to_cat_21,bird_to_cat,bird,cat,1436,89,"[0.18, 0.12, 0.88, 0.88]",21,pending,0.22027094205697864,accepted,,selected,human_accepted_before_model_evaluation
bird_to_cat_22,bird_to_cat,bird,cat,116,89,"[0.18, 0.12, 0.88, 0.88]",22,pending,0.2715588633079104,accepted,,selected,human_accepted_before_model_evaluation
bird_to_cat_23,bird_to_cat,bird,cat,5123,89,"[0.18, 0.12, 0.88, 0.88]",23,pending,0.22054681189015846,rejected,reviewer_rejected_unspecified,not_selected,human_rejected_before_model_evaluation
bird_to_cat_24,bird_to_cat,bird,cat,1993,89,"[0.18, 0.12, 0.88, 0.88]",24,pending,0.22093102901019523,accepted,,selected,human_accepted_before_model_evaluation
bird_to_dog_00,bird_to_dog,bird,dog,5123,113,"[0.18, 0.1, 0.88, 0.9]",0,pending,0.176245434621036,accepted,,selected,human_accepted_before_model_evaluation
bird_to_dog_01,bird_to_dog,bird,dog,1230,113,"[0.18, 0.1, 0.88, 0.9]",1,pending,0.21725370059028273,accepted,,selected,human_accepted_before_model_evaluation
bird_to_dog_02,bird_to_dog,bird,dog,3079,113,"[0.18, 0.1, 0.88, 0.9]",2,pending,0.1701739034658034,rejected,reviewer_rejected_unspecified,not_selected,human_rejected_before_model_evaluation
bird_to_dog_03,bird_to_dog,bird,dog,2116,113,"[0.18, 0.1, 0.88, 0.9]",3,pending,0.1751330885551008,accepted,,selected,human_accepted_before_model_evaluation
bird_to_dog_04,bird_to_dog,bird,dog,2157,113,"[0.18, 0.1, 0.88, 0.9]",4,pending,0.20242021535109497,accepted,,selected,human_accepted_before_model_evaluation
bird_to_dog_05,bird_to_dog,bird,dog,5256,113,"[0.18, 0.1, 0.88, 0.9]",5,pending,0.1671549296661495,accepted,,selected,human_accepted_before_model_evaluation
bird_to_dog_06,bird_to_dog,bird,dog,95,113,"[0.18, 0.1, 0.88, 0.9]",6,pending,0.18035716748531813,accepted,,selected,human_accepted_before_model_evaluation
bird_to_dog_07,bird_to_dog,bird,dog,4640,113,"[0.18, 0.1, 0.88, 0.9]",7,pending,0.1853047297604205,rejected,reviewer_rejected_unspecified,not_selected,human_rejected_before_model_evaluation
bird_to_dog_08,bird_to_dog,bird,dog,261,113,"[0.18, 0.1, 0.88, 0.9]",8,pending,0.1842455840441146,accepted,,selected,human_accepted_before_model_evaluation
bird_to_dog_09,bird_to_dog,bird,dog,2690,113,"[0.18, 0.1, 0.88, 0.9]",9,pending,0.18405495790291337,rejected,reviewer_rejected_unspecified,not_selected,human_rejected_before_model_evaluation
bird_to_dog_10,bird_to_dog,bird,dog,304,113,"[0.18, 0.1, 0.88, 0.9]",10,pending,0.16239274753051852,rejected,reviewer_rejected_unspecified,not_selected,human_rejected_before_model_evaluation
bird_to_dog_11,bird_to_dog,bird,dog,1115,113,"[0.18, 0.1, 0.88, 0.9]",11,pending,0.21494841953380533,accepted,,selected,human_accepted_before_model_evaluation
bird_to_dog_12,bird_to_dog,bird,dog,1109,113,"[0.18, 0.1, 0.88, 0.9]",12,pending,0.18966311912451758,accepted,,selected,human_accepted_before_model_evaluation
bird_to_dog_13,bird_to_dog,bird,dog,7033,113,"[0.18, 0.1, 0.88, 0.9]",13,pending,0.14516491061773854,rejected,reviewer_rejected_unspecified,not_selected,human_rejected_before_model_evaluation
bird_to_dog_14,bird_to_dog,bird,dog,2095,113,"[0.18, 0.1, 0.88, 0.9]",14,pending,0.1840942504811015,accepted,,selected,human_accepted_before_model_evaluation
bird_to_dog_15,bird_to_dog,bird,dog,116,113,"[0.18, 0.1, 0.88, 0.9]",15,pending,0.20525294817139525,accepted,,selected,human_accepted_before_model_evaluation
bird_to_dog_16,bird_to_dog,bird,dog,4298,113,"[0.18, 0.1, 0.88, 0.9]",16,pending,0.1595729565840823,accepted,,selected,human_accepted_before_model_evaluation
bird_to_dog_17,bird_to_dog,bird,dog,7029,113,"[0.18, 0.1, 0.88, 0.9]",17,pending,0.1967251409817069,accepted,,selected,human_accepted_before_model_evaluation
bird_to_dog_18,bird_to_dog,bird,dog,198,113,"[0.18, 0.1, 0.88, 0.9]",18,pending,0.2342409595983184,accepted,,selected,human_accepted_before_model_evaluation
